
::::::::::::::::::::Aggregate Results::::::::::::::::::::
     avg_iou  custom_avg_iou
0  0.162319        0.832371 
::::::::::::::::::::::Category Results:::::::::::::::::::
                 category   avg_iou  custom_avg_iou
0  ATTENTION DISTRACTION  0.040522        1.000000
1        COUNTDOWN TIMER  0.231990        0.823345
2   LIMITED TIME MESSAGE  0.262617        0.808963
3         DEFAULT CHOICE  0.023972        0.569231
4      LOW STOCK MESSAGE  0.223910        1.000000
5       ACTIVITY MESSAGE  0.351397        0.740450
6                NAGGING  0.015434        0.957007
7          DISGUISED ADS  0.006635        0.916667
8    HIGH DEMAND MESSAGE  0.340726        0.730416
9           GAMIFICATION  0.125986        0.777633
